Front,Back,Explanation
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Given:<br>L = [[3, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 4, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [9, 16, 25]</p><p style='color: #444444; margin: 4px 0;'>C) [[3, 9], [4, 16], [5, 25]]</p><p style='color: #444444; margin: 4px 0;'>D) [last(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: B</span>,<span style='color: #333;'>Explanation: The 'last()' function returns the last element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 7], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [2, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [3, 6]</p><p style='color: #444444; margin: 4px 0;'>D) [rest(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'first()' function returns the first element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What is the result of the following code?<br><br>A = [1, 4, 5, 7, 9]<br>B = [2, 4, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 7]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 3, 5]</p><p style='color: #444444; margin: 4px 0;'>C) [2, 6]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: Nested foreach loops compare each element in A with each in B and collect matching elements.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 5, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></p><p style='color: #444444; margin: 4px 0;'>A) [1, 3]</p><p style='color: #444444; margin: 4px 0;'>B) [2, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [1, 2, 3, 4]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'eliminate' function returns elements in L1 that are not present in L2.</span>
<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 4rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></p><p style='color: #444444; margin: 4px 0;'>A) 4</p><p style='color: #444444; margin: 4px 0;'>B) 3</p><p style='color: #444444; margin: 4px 0;'>C) 2</p><p style='color: #444444; margin: 4px 0;'>D) 1</p>,<span style='color: #006400; font-weight: bold;'>Answer: C</span>,<span style='color: #333;'>Explanation: This is the correct option based on the logic in the question.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Given:<br>L = [[4, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 4, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [9, 16, 25]</p><p style='color: #444444; margin: 4px 0;'>C) [[3, 9], [4, 16], [5, 25]]</p><p style='color: #444444; margin: 4px 0;'>D) [last(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: B</span>,<span style='color: #333;'>Explanation: The 'last()' function returns the last element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 5], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [2, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [3, 6]</p><p style='color: #444444; margin: 4px 0;'>D) [rest(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'first()' function returns the first element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What is the result of the following code?<br><br>A = [1, 5, 5, 7, 9]<br>B = [2, 5, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 7]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 3, 5]</p><p style='color: #444444; margin: 4px 0;'>C) [2, 6]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: Nested foreach loops compare each element in A with each in B and collect matching elements.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 5, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></p><p style='color: #444444; margin: 4px 0;'>A) [1, 3]</p><p style='color: #444444; margin: 4px 0;'>B) [2, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [1, 2, 3, 4]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'eliminate' function returns elements in L1 that are not present in L2.</span>
<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 3rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></p><p style='color: #444444; margin: 4px 0;'>A) 4</p><p style='color: #444444; margin: 4px 0;'>B) 3</p><p style='color: #444444; margin: 4px 0;'>C) 2</p><p style='color: #444444; margin: 4px 0;'>D) 1</p>,<span style='color: #006400; font-weight: bold;'>Answer: C</span>,<span style='color: #333;'>Explanation: This is the correct option based on the logic in the question.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Given:<br>L = [[4, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 4, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [9, 16, 25]</p><p style='color: #444444; margin: 4px 0;'>C) [[3, 9], [4, 16], [5, 25]]</p><p style='color: #444444; margin: 4px 0;'>D) [last(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: B</span>,<span style='color: #333;'>Explanation: The 'last()' function returns the last element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 4], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [2, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [3, 6]</p><p style='color: #444444; margin: 4px 0;'>D) [rest(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'first()' function returns the first element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What is the result of the following code?<br><br>A = [1, 7, 5, 7, 9]<br>B = [2, 7, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 7]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 3, 5]</p><p style='color: #444444; margin: 4px 0;'>C) [2, 6]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: Nested foreach loops compare each element in A with each in B and collect matching elements.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 6, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></p><p style='color: #444444; margin: 4px 0;'>A) [1, 3]</p><p style='color: #444444; margin: 4px 0;'>B) [2, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [1, 2, 3, 4]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'eliminate' function returns elements in L1 that are not present in L2.</span>
<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 3rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></p><p style='color: #444444; margin: 4px 0;'>A) 4</p><p style='color: #444444; margin: 4px 0;'>B) 3</p><p style='color: #444444; margin: 4px 0;'>C) 2</p><p style='color: #444444; margin: 4px 0;'>D) 1</p>,<span style='color: #006400; font-weight: bold;'>Answer: C</span>,<span style='color: #333;'>Explanation: This is the correct option based on the logic in the question.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Given:<br>L = [[5, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 4, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [9, 16, 25]</p><p style='color: #444444; margin: 4px 0;'>C) [[3, 9], [4, 16], [5, 25]]</p><p style='color: #444444; margin: 4px 0;'>D) [last(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: B</span>,<span style='color: #333;'>Explanation: The 'last()' function returns the last element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 4], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [2, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [3, 6]</p><p style='color: #444444; margin: 4px 0;'>D) [rest(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'first()' function returns the first element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What is the result of the following code?<br><br>A = [1, 3, 5, 7, 9]<br>B = [2, 3, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 7]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 3, 5]</p><p style='color: #444444; margin: 4px 0;'>C) [2, 6]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: Nested foreach loops compare each element in A with each in B and collect matching elements.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 7, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></p><p style='color: #444444; margin: 4px 0;'>A) [1, 3]</p><p style='color: #444444; margin: 4px 0;'>B) [2, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [1, 2, 3, 4]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'eliminate' function returns elements in L1 that are not present in L2.</span>
<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 3rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></p><p style='color: #444444; margin: 4px 0;'>A) 4</p><p style='color: #444444; margin: 4px 0;'>B) 3</p><p style='color: #444444; margin: 4px 0;'>C) 2</p><p style='color: #444444; margin: 4px 0;'>D) 1</p>,<span style='color: #006400; font-weight: bold;'>Answer: C</span>,<span style='color: #333;'>Explanation: This is the correct option based on the logic in the question.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Given:<br>L = [[5, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 4, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [9, 16, 25]</p><p style='color: #444444; margin: 4px 0;'>C) [[3, 9], [4, 16], [5, 25]]</p><p style='color: #444444; margin: 4px 0;'>D) [last(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: B</span>,<span style='color: #333;'>Explanation: The 'last()' function returns the last element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 7], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [2, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [3, 6]</p><p style='color: #444444; margin: 4px 0;'>D) [rest(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'first()' function returns the first element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What is the result of the following code?<br><br>A = [1, 5, 5, 7, 9]<br>B = [2, 5, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 7]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 3, 5]</p><p style='color: #444444; margin: 4px 0;'>C) [2, 6]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: Nested foreach loops compare each element in A with each in B and collect matching elements.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 6, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></p><p style='color: #444444; margin: 4px 0;'>A) [1, 3]</p><p style='color: #444444; margin: 4px 0;'>B) [2, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [1, 2, 3, 4]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'eliminate' function returns elements in L1 that are not present in L2.</span>
<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 5rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></p><p style='color: #444444; margin: 4px 0;'>A) 4</p><p style='color: #444444; margin: 4px 0;'>B) 3</p><p style='color: #444444; margin: 4px 0;'>C) 2</p><p style='color: #444444; margin: 4px 0;'>D) 1</p>,<span style='color: #006400; font-weight: bold;'>Answer: C</span>,<span style='color: #333;'>Explanation: This is the correct option based on the logic in the question.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Given:<br>L = [[5, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 4, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [9, 16, 25]</p><p style='color: #444444; margin: 4px 0;'>C) [[3, 9], [4, 16], [5, 25]]</p><p style='color: #444444; margin: 4px 0;'>D) [last(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: B</span>,<span style='color: #333;'>Explanation: The 'last()' function returns the last element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 3], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [2, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [3, 6]</p><p style='color: #444444; margin: 4px 0;'>D) [rest(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'first()' function returns the first element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What is the result of the following code?<br><br>A = [1, 4, 5, 7, 9]<br>B = [2, 4, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 7]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 3, 5]</p><p style='color: #444444; margin: 4px 0;'>C) [2, 6]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: Nested foreach loops compare each element in A with each in B and collect matching elements.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 7, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></p><p style='color: #444444; margin: 4px 0;'>A) [1, 3]</p><p style='color: #444444; margin: 4px 0;'>B) [2, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [1, 2, 3, 4]</p><p style='color: #444444; margin: 4px 0;'>D) []</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'eliminate' function returns elements in L1 that are not present in L2.</span>
<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 5rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></p><p style='color: #444444; margin: 4px 0;'>A) 4</p><p style='color: #444444; margin: 4px 0;'>B) 3</p><p style='color: #444444; margin: 4px 0;'>C) 2</p><p style='color: #444444; margin: 4px 0;'>D) 1</p>,<span style='color: #006400; font-weight: bold;'>Answer: C</span>,<span style='color: #333;'>Explanation: This is the correct option based on the logic in the question.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>Given:<br>L = [[6, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [3, 4, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [9, 16, 25]</p><p style='color: #444444; margin: 4px 0;'>C) [[3, 9], [4, 16], [5, 25]]</p><p style='color: #444444; margin: 4px 0;'>D) [last(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: B</span>,<span style='color: #333;'>Explanation: The 'last()' function returns the last element of a list or tuple.</span>
"<p style='text-align: justify; color: #003366; font-weight: bold; line-height: 1.5;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 6], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></p><p style='color: #444444; margin: 4px 0;'>A) [2, 5]</p><p style='color: #444444; margin: 4px 0;'>B) [1, 4]</p><p style='color: #444444; margin: 4px 0;'>C) [3, 6]</p><p style='color: #444444; margin: 4px 0;'>D) [rest(L)]</p>",<span style='color: #006400; font-weight: bold;'>Answer: A</span>,<span style='color: #333;'>Explanation: The 'first()' function returns the first element of a list or tuple.</span>
