Front,Back
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[3, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 7], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 4, 5, 7, 9]<br>B = [2, 4, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 5, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 4rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[4, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 5], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 5, 5, 7, 9]<br>B = [2, 5, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 5, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 3rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[4, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 4], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 7, 5, 7, 9]<br>B = [2, 7, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 6, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 3rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[5, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 4], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 3, 5, 7, 9]<br>B = [2, 3, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 7, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 3rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[5, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 7], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 5, 5, 7, 9]<br>B = [2, 5, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 6, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 5rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[5, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 3], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 4, 5, 7, 9]<br>B = [2, 4, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 7, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 5rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[6, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 6], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 5, 5, 7, 9]<br>B = [2, 5, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 7, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 4rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Given:<br>L = [[6, 9], [4, 16], [5, 25]]<br>What does the following pseudocode produce?<br><br>squares = []<br>foreach pair in L {<br>    squares = squares ++ [last(pair)]<br>}<br></div><div style='color: #444444;'>A) [3, 4, 5]</div><div style='color: #444444;'>B) [9, 16, 25]</div><div style='color: #444444;'>C) [[3, 9], [4, 16], [5, 25]]</div><div style='color: #444444;'>D) [last(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: B</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What will be the output of this pseudocode?<br><br>L = [[1, 2, 4], [4, 5, 6]]<br>result = []<br>foreach x in L {<br>    result = result ++ [first(rest(x))]<br>}<br></div><div style='color: #444444;'>A) [2, 5]</div><div style='color: #444444;'>B) [1, 4]</div><div style='color: #444444;'>C) [3, 6]</div><div style='color: #444444;'>D) [rest(L)]</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>What is the result of the following code?<br><br>A = [1, 3, 5, 7, 9]<br>B = [2, 3, 6, 7, 10]<br>common = []<br><br>foreach x in A {<br>    foreach y in B {<br>        if x == y {<br>            common = common ++ [x]<br>        }<br>    }<br>}<br></div><div style='color: #444444;'>A) [3, 7]</div><div style='color: #444444;'>B) [1, 3, 5]</div><div style='color: #444444;'>C) [2, 6]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
"<div style='text-align: justify; color: #003366; font-weight: bold;'>Suppose a function `eliminate(L1, L2)` removes elements of L1 that are also in L2.<br>If L1 = [1, 2, 3, 4], and L2 = [2, 4], what will eliminate(L1, L2) return?<br></div><div style='color: #444444;'>A) [1, 3]</div><div style='color: #444444;'>B) [2, 4]</div><div style='color: #444444;'>C) [1, 2, 3, 4]</div><div style='color: #444444;'>D) []</div>",<div style='color: #006400; font-weight: bold;'>Answer: A</div>
<div style='text-align: justify; color: #003366; font-weight: bold;'>How many numbers between 1 and 50 (inclusive) are both in:<br>- every 7rd element starting from 1<br>- every 4th element starting from 2<br><br>Enter the count.<br></div><div style='color: #444444;'>A) 4</div><div style='color: #444444;'>B) 3</div><div style='color: #444444;'>C) 2</div><div style='color: #444444;'>D) 1</div>,<div style='color: #006400; font-weight: bold;'>Answer: C</div>
