"Front";"Back";"Extra"
"Product Rule – Q26: What is a key concept related to Product Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"L’Hôpital’s Rule – Q45: What is a key concept related to L’Hôpital’s Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Quotient Rule – Q35: What is a key concept related to Quotient Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Continuity – Q2: What is a key concept related to Continuity?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Differentiability – Q9: What is a key concept related to Differentiability?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Continuity – Q1: What is a key concept related to Continuity?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"L’Hôpital’s Rule – Q41: What is a key concept related to L’Hôpital’s Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Differentiability – Q8: What is a key concept related to Differentiability?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Differentiability – Q6: What is a key concept related to Differentiability?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Chain Rule – Q36: What is a key concept related to Chain Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Linear Approximation – Q12: What is a key concept related to Linear Approximation?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Chain Rule – Q39: What is a key concept related to Chain Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Power Rule – Q16: What is a key concept related to Power Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Power Rule – Q17: What is a key concept related to Power Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Power Rule – Q19: What is a key concept related to Power Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Continuity – Q3: What is a key concept related to Continuity?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Limits (Algebraic & Graphical) – Q50: What is a key concept related to Limits (Algebraic & Graphical)?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Linear Approximation – Q15: What is a key concept related to Linear Approximation?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Power Rule – Q18: What is a key concept related to Power Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Product Rule – Q28: What is a key concept related to Product Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Quotient Rule – Q34: What is a key concept related to Quotient Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Standard Derivatives – Q22: What is a key concept related to Standard Derivatives?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Standard Derivatives – Q21: What is a key concept related to Standard Derivatives?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"L’Hôpital’s Rule – Q42: What is a key concept related to L’Hôpital’s Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Limits (Algebraic & Graphical) – Q48: What is a key concept related to Limits (Algebraic & Graphical)?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Product Rule – Q30: What is a key concept related to Product Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"L’Hôpital’s Rule – Q43: What is a key concept related to L’Hôpital’s Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Standard Derivatives – Q25: What is a key concept related to Standard Derivatives?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"L’Hôpital’s Rule – Q44: What is a key concept related to L’Hôpital’s Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Chain Rule – Q38: What is a key concept related to Chain Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Limits (Algebraic & Graphical) – Q47: What is a key concept related to Limits (Algebraic & Graphical)?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Differentiability – Q7: What is a key concept related to Differentiability?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Differentiability – Q10: What is a key concept related to Differentiability?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Linear Approximation – Q14: What is a key concept related to Linear Approximation?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Power Rule – Q20: What is a key concept related to Power Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Linear Approximation – Q13: What is a key concept related to Linear Approximation?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Linear Approximation – Q11: What is a key concept related to Linear Approximation?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Continuity – Q5: What is a key concept related to Continuity?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Continuity – Q4: What is a key concept related to Continuity?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Quotient Rule – Q31: What is a key concept related to Quotient Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
